stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
Tokyu.Meguro.NishiKoyama,,西小山,,35.615743,139.698888,Tokyu.Meguro.NishiKoyama,,0,,,
Tokyu.Meguro.Senzoku,,洗足,,35.610303,139.694316,Tokyu.Meguro.Senzoku,,0,,,
Tokyu.Meguro.Ookayama,,大岡山,,35.607487,139.685643,Tokyu.Meguro.Ookayama,,0,,,
Tokyu.Meguro.Okusawa,,奥沢,,35.603731,139.6721,Tokyu.Meguro.Okusawa,,0,,,
Tokyu.Meguro.DenEnChofu,,田園調布,,35.596893,139.66729,Tokyu.Meguro.DenEnChofu,,0,,,
Tokyu.Meguro.Tamagawa,,多摩川,,35.589219,139.668874,Tokyu.Meguro.Tamagawa,,0,,,
Tokyu.Meguro.ShinMaruko,,新丸子,,35.580296,139.661941,Tokyu.Meguro.ShinMaruko,,0,,,
Tokyu.Meguro.MusashiKosugi,,武蔵小杉,,35.575677,139.659579,Tokyu.Meguro.MusashiKosugi,,0,,,
Tokyu.Meguro.Motosumiyoshi,,元住吉,,35.56461,139.653993,Tokyu.Meguro.Motosumiyoshi,,0,,,
Tokyu.Meguro.Hiyoshi,,日吉,,35.554181,139.647144,Tokyu.Meguro.Hiyoshi,,0,,,
Tokyu.Oimachi.Oimachi,,大井町,,35.60759,139.735066,Tokyu.Oimachi.Oimachi,,0,,,
Tokyu.Oimachi.ShimoShimmei,,下神明,,35.608815,139.726303,Tokyu.Oimachi.ShimoShimmei,,0,,,
Tokyu.Oimachi.TogoshiKoen,,戸越公園,,35.6088,139.71806,Tokyu.Oimachi.TogoshiKoen,,0,,,
Tokyu.Oimachi.Nakanobu,,中延,,35.605673,139.712635,Tokyu.Oimachi.Nakanobu,,0,,,
Tokyu.Oimachi.EbaraMachi,,荏原町,,35.603771,139.707904,Tokyu.Oimachi.EbaraMachi,,0,,,
Tokyu.Oimachi.Hatanodai,,旗の台,,35.604784,139.702897,Tokyu.Oimachi.Hatanodai,,0,,,
Tokyu.Oimachi.KitaSenzoku,,北千束,,35.606322,139.693215,Tokyu.Oimachi.KitaSenzoku,,0,,,
Tokyu.Oimachi.Ookayama,,大岡山,,35.607486,139.685642,Tokyu.Oimachi.Ookayama,,0,,,
Tokyu.Oimachi.Midorigaoka,,緑が丘,,35.606455,139.679127,Tokyu.Oimachi.Midorigaoka,,0,,,
Tokyu.Oimachi.Jiyugaoka,,自由が丘,,35.607349,139.668532,Tokyu.Oimachi.Jiyugaoka,,0,,,
Tokyu.Oimachi.Kuhombutsu,,九品仏,,35.605339,139.661468,Tokyu.Oimachi.Kuhombutsu,,0,,,
Tokyu.Oimachi.Oyamadai,,尾山台,,35.607179,139.653401,Tokyu.Oimachi.Oyamadai,,0,,,
Tokyu.Oimachi.Todoroki,,等々力,,35.608463,139.647552,Tokyu.Oimachi.Todoroki,,0,,,
Tokyu.Oimachi.Kaminoge,,上野毛,,35.611844,139.639125,Tokyu.Oimachi.Kaminoge,,0,,,
Tokyu.Oimachi.FutakoTamagawa,,二子玉川,,35.612226,139.627212,Tokyu.Oimachi.FutakoTamagawa,,0,,,
Tokyu.Oimachi.FutakoShinchi,,二子新地,,35.607133,139.622419,Tokyu.Oimachi.FutakoShinchi,,0,,,
Tokyu.Oimachi.Takatsu,,高津,,35.603062,139.61669,Tokyu.Oimachi.Takatsu,,0,,,
Tokyu.Oimachi.Mizonokuchi,,溝の口,,35.599964,139.610623,Tokyu.Oimachi.Mizonokuchi,,0,,,
Tokyu.Setagaya.SangenJaya,,三軒茶屋,,35.644147,139.669257,Tokyu.Setagaya.SangenJaya,,0,,,
Tokyu.Setagaya.NishiTaishido,,西太子堂,,35.644844,139.666036,Tokyu.Setagaya.NishiTaishido,,0,,,
Tokyu.Setagaya.Wakabayashi,,若林,,35.646,139.659886,Tokyu.Setagaya.Wakabayashi,,0,,,
Tokyu.Setagaya.ShoinJinjaMae,,松陰神社前,,35.643998,139.655242,Tokyu.Setagaya.ShoinJinjaMae,,0,,,
Tokyu.Setagaya.Setagaya,,世田谷,,35.643463,139.650714,Tokyu.Setagaya.Setagaya,,0,,,
Tokyu.Setagaya.Kamimachi,,上町,,35.643417,139.646617,Tokyu.Setagaya.Kamimachi,,0,,,
Tokyu.Setagaya.Miyanosaka,,宮の坂,,35.647878,139.644941,Tokyu.Setagaya.Miyanosaka,,0,,,
Tokyu.Setagaya.Yamashita,,山下,,35.65386,139.646589,Tokyu.Setagaya.Yamashita,,0,,,
Tokyu.Setagaya.Matsubara,,松原,,35.660059,139.642004,Tokyu.Setagaya.Matsubara,,0,,,
Tokyu.Setagaya.ShimoTakaido,,下高井戸,,35.666183,139.641381,Tokyu.Setagaya.ShimoTakaido,,0,,,
Tokyu.TokyuShinYokohama.Hiyoshi,,日吉,,35.554181,139.647144,Tokyu.TokyuShinYokohama.Hiyoshi,,0,,,
Tokyu.TokyuShinYokohama.ShinTsunashima,,新綱島,,35.5358452,139.6361012,Tokyu.TokyuShinYokohama.ShinTsunashima,,0,,,
Tokyu.TokyuShinYokohama.ShinYokohama,,新横浜,,35.5088883,139.6173113,Tokyu.TokyuShinYokohama.ShinYokohama,,0,,,
Tokyu.TokyuTamagawa.Tamagawa,,多摩川,,35.589219,139.668873,Tokyu.TokyuTamagawa.Tamagawa,,0,,,
Tokyu.TokyuTamagawa.Numabe,,沼部,,35.582398,139.673246,Tokyu.TokyuTamagawa.Numabe,,0,,,
Tokyu.TokyuTamagawa.Unoki,,鵜の木,,35.575263,139.680629,Tokyu.TokyuTamagawa.Unoki,,0,,,
Tokyu.TokyuTamagawa.Shimomaruko,,下丸子,,35.571169,139.685759,Tokyu.TokyuTamagawa.Shimomaruko,,0,,,
Tokyu.TokyuTamagawa.MusashiNitta,,武蔵新田,,35.567942,139.692265,Tokyu.TokyuTamagawa.MusashiNitta,,0,,,
Tokyu.TokyuTamagawa.YaguchiNoWatashi,,矢口渡,,35.562017,139.700086,Tokyu.TokyuTamagawa.YaguchiNoWatashi,,0,,,
Tokyu.TokyuTamagawa.Kamata,,蒲田,,35.561687,139.71464,Tokyu.TokyuTamagawa.Kamata,,0,,,
Tokyu.Toyoko.Shibuya,,渋谷,,35.659092,139.70257,Tokyu.Toyoko.Shibuya,,0,,,
Tokyu.Toyoko.DaikanYama,,代官山,,35.648043,139.703084,Tokyu.Toyoko.DaikanYama,,0,,,
Tokyu.Toyoko.NakaMeguro,,中目黒,,35.64431,139.699116,Tokyu.Toyoko.NakaMeguro,,0,,,
Tokyu.Toyoko.Yutenji,,祐天寺,,35.637482,139.690894,Tokyu.Toyoko.Yutenji,,0,,,
Tokyu.Toyoko.GakugeiDaigaku,,学芸大学,,35.628969,139.685394,Tokyu.Toyoko.GakugeiDaigaku,,0,,,
Tokyu.Toyoko.ToritsuDaigaku,,都立大学,,35.617187,139.675951,Tokyu.Toyoko.ToritsuDaigaku,,0,,,
Tokyu.Toyoko.Jiyugaoka,,自由が丘,,35.60735,139.668532,Tokyu.Toyoko.Jiyugaoka,,0,,,
Tokyu.Toyoko.DenEnChofu,,田園調布,,35.596893,139.667289,Tokyu.Toyoko.DenEnChofu,,0,,,
Tokyu.Toyoko.Tamagawa,,多摩川,,35.589219,139.668873,Tokyu.Toyoko.Tamagawa,,0,,,
Tokyu.Toyoko.ShinMaruko,,新丸子,,35.580296,139.661941,Tokyu.Toyoko.ShinMaruko,,0,,,
Tokyu.Toyoko.MusashiKosugi,,武蔵小杉,,35.575677,139.659578,Tokyu.Toyoko.MusashiKosugi,,0,,,
Tokyu.Toyoko.Motosumiyoshi,,元住吉,,35.564609,139.653993,Tokyu.Toyoko.Motosumiyoshi,,0,,,
Tokyu.Toyoko.Hiyoshi,,日吉,,35.554181,139.647144,Tokyu.Toyoko.Hiyoshi,,0,,,
Tokyu.Toyoko.Tsunashima,,綱島,,35.536462,139.634543,Tokyu.Toyoko.Tsunashima,,0,,,
Tokyu.Toyoko.Okurayama,,大倉山,,35.521883,139.629947,Tokyu.Toyoko.Okurayama,,0,,,
Tokyu.Toyoko.Kikuna,,菊名,,35.509906,139.631133,Tokyu.Toyoko.Kikuna,,0,,,
Tokyu.Toyoko.Myorenji,,妙蓮寺,,35.498474,139.63315,Tokyu.Toyoko.Myorenji,,0,,,
Tokyu.Toyoko.Hakuraku,,白楽,,35.489052,139.628419,Tokyu.Toyoko.Hakuraku,,0,,,
Tokyu.Toyoko.HigashiHakuraku,,東白楽,,35.48332,139.629486,Tokyu.Toyoko.HigashiHakuraku,,0,,,
Tokyu.Toyoko.Tammachi,,反町,,35.474718,139.625248,Tokyu.Toyoko.Tammachi,,0,,,
Tokyu.Toyoko.Yokohama,,横浜,,35.466419,139.622203,Tokyu.Toyoko.Yokohama,,0,,,
